apelido,pontuacao,posicao_id,clube_id,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,atleta_id
Rodrygo,8.8,5,277,,,,,,1.0,,1.0,,1.0,,,,3.0,,,100651
Hygor,-0.5,5,292,,,,,1.0,,,1.0,,,,,1.0,,,,100955
Ferreira,3.9,4,292,,,,,,,,,,,,,,2.0,3.0,,100985
Brenner,-0.3,5,285,,1.0,,,,1.0,,1.0,,,,,,,,,101857
Thiago Larghi,4.15,6,282,,,,,,,,,,,,,,,,,101957
Juan,0.5,3,262,,,,,,,,1.0,,,,,,5.0,1.0,,36540
Guto Ferreira,2.48,6,265,,,,,,,,,,,,,,,,,37245
Mano Menezes,2.49,6,283,,,,,,,,,,,,,,,,,37281
Gilson Kleina,1.58,6,315,,,,,,,,,,,,,,,,,37306
Marcelo Chamusca,1.19,6,354,,,,,,,,,,,,,,,,,37319
Rafael Moura,5.1,5,327,1.0,,,,1.0,,1.0,,,,,,1.0,4.0,1.0,,37655
Fábio,1.0,1,283,,,,1.0,,,,,,,,1.0,,,,,37656
Jonathan,6.2,2,293,1.0,,,,,,,,,,,,,1.0,1.0,,37662
Wagner,12.6,4,267,,,,,2.0,2.0,,3.0,,1.0,,,2.0,1.0,2.0,,37674
Cícero,2.3,4,284,,,,,,1.0,,1.0,,,,,,3.0,1.0,,37688
Henrique,6.8,4,283,,,,,,,2.0,2.0,,,,,,1.0,3.0,,37694
Léo Moura,9.2,2,284,,,,,1.0,,,4.0,,,,,,1.0,2.0,1.0,37701
Marcelo Grohe,11.0,1,284,,,,2.0,,,,,,,,,,,,1.0,37770
Rafael Sobis,1.5,5,283,,,,,1.0,,1.0,,,,,,,1.0,1.0,,37798
Roberto,1.2,5,354,,,,,,,,,,,,,,1.0,1.0,,38178
Maicon,0.0,4,284,,,,,1.0,,,1.0,,,,,,,,,38196
Fábio Santos,-2.0,2,282,,1.0,,,1.0,,,1.0,,,,,,5.0,1.0,,38229
Thiago Neves,1.7,4,283,,,,,,2.0,,1.0,,,,,,4.0,,,38277
Wellington Paulista,7.3,5,315,,1.0,,,5.0,,2.0,,,1.0,,,1.0,1.0,2.0,,38279
Márcio Araújo,-1.8,4,315,,1.0,,,2.0,,,,,,,,,1.0,1.0,,38311
Diego Alves,1.1,1,262,,,,2.0,,,,,,,,2.0,,3.0,,,38509
Edílson,0.4,2,283,,,,,1.0,,,,,,,,,2.0,1.0,,38523
Diego,0.8,4,262,,1.0,,,3.0,,1.0,8.0,,,,,1.0,5.0,1.0,,38909
Ricardo Oliveira,-1.0,5,282,,,,,3.0,,2.0,1.0,,,,,2.0,2.0,,,38910
Rafael Marques,-0.5,5,283,,,,,1.0,,,,,,,,,,,,38957
Nelsinho Baptista,1.41,6,292,,,,,,,,,,,,,,,,,39500
Vagner Mancini,2.26,6,287,,,,,,,,,,,,,,,,,39850
Abel Braga,3.61,6,266,,,,,,,,,,,,,,,,,40006
Renato Gaúcho,7.29,6,284,,,,,,,,,,,,,,,,,41929
Egídio,0.4,2,283,,,,,5.0,,,1.0,,,,,,2.0,2.0,,42145
Amaral,1.4,4,315,,,,,,,,1.0,,,,,,2.0,1.0,,42232
Cássio,0.7,1,264,,,,1.0,,,,,,,,1.0,,1.0,,,42234
Fagner,0.5,2,264,,,,,,,,1.0,,,,,,10.0,2.0,,42500
Ernando,0.5,3,292,,,,,,,,1.0,,,,,,,,,49651
Júlio César,-4.3,1,266,,,,,,,,,,,,2.0,,1.0,,,49673
David Braz,6.5,3,277,,,,,,,,,,,,,,,1.0,1.0,50317
Rafael Lima,6.2,3,327,,,,,,,,,,,,,,1.0,1.0,1.0,50361
Gerson Magrão,1.2,4,327,,,,,,,,,,,,,,1.0,1.0,,50401
Wesley,-0.5,4,327,,,,,1.0,,,,,,,,,,,,50421
Léo,2.5,3,283,,,,,1.0,,,,,,,,,,2.0,,50459
Eduardo,2.0,2,315,,,,,,,,1.0,,,,,,,1.0,,50645
Henrique,2.8,3,264,,,,,,,1.0,1.0,,,,,,,1.0,,50856
Apodi,1.5,2,315,,,,,2.0,,2.0,,,,,,,2.0,1.0,,51042
Thiago Carleto,13.2,2,293,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,6.0,,,51700
Éverton Ribeiro,-5.8,4,262,,,1.0,,1.0,,,,,,,,,1.0,,,51772
Pedro Botelho,2.9,2,287,,,,,,,1.0,,,,,,,3.0,2.0,,51779
Kanu,-1.5,3,287,,,,,3.0,,,,,,,,,,,,51792
Ralf,3.0,4,264,,,,,1.0,,,1.0,,,,,,,2.0,,52190
Réver,10.1,3,262,,,,,,1.0,,3.0,,1.0,,,,2.0,,,52253
Victor,4.1,1,282,,,,3.0,,,,,,,,2.0,,3.0,,,52950
Elias,1.1,4,282,,,,,,,,1.0,,,,,,3.0,1.0,,54395
Dedé,2.7,3,283,,1.0,,,1.0,,,2.0,,,,,,1.0,3.0,,60819
Felipe Azevedo,-0.7,5,354,,,,,,,,1.0,,,,,,4.0,,,60825
Luan,11.7,5,327,1.0,1.0,,,3.0,1.0,2.0,2.0,,,,,1.0,2.0,5.0,,60834
Patric,-0.8,2,282,,,,,2.0,,,1.0,,,,,,6.0,1.0,,60969
Rodriguinho,16.5,4,264,,,,,1.0,,,2.0,,2.0,,,,5.0,1.0,,61033
D'Alessandro,2.2,4,285,,,,,,,2.0,3.0,,,,,,3.0,,,62023
Pará,0.0,2,262,,,,,,,,,,,,,,,,,62086
Robinho,-1.1,4,283,,,,,1.0,,,,,,,,,2.0,,,62104
Vanderlei,8.0,1,277,,,,1.0,,,,,,,,,,,,1.0,62121
Wellington,0.6,4,267,,,,,,1.0,,,,,,,,2.0,,,62129
Enderson Moreira,10.05,6,327,,,,,,,,,,,,,,,,,62137
Werley,4.1,3,267,,,,,,1.0,,1.0,,,,,,2.0,2.0,,62974
Willian Farias,1.8,4,287,,,,,,,1.0,2.0,,,,,,,,,63058
Juninho,0.0,2,287,,,,,,,,,,,,,,,,,63119
Douglas,2.0,3,315,,,,,3.0,,,1.0,,,,,,,2.0,,63128
Paulão,3.2,3,267,,,,,1.0,,,2.0,,,,,,1.0,2.0,,63172
Carlinhos,15.9,2,327,,,,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,63194
Luan,11.1,5,282,,,,,,,,,,,,,,3.0,8.0,,63219
Edenílson,8.6,4,285,1.0,,,,,,,,,,,,,3.0,3.0,,63289
Rodrigo Moledo,8.3,3,285,,,,,1.0,,1.0,3.0,,,,,,,1.0,1.0,63354
André,6.1,5,284,,,,,4.0,,1.0,1.0,,1.0,,,3.0,4.0,1.0,,68690
Dodô,8.5,2,277,,,,,,1.0,,1.0,,,,,,4.0,2.0,1.0,68727
Emerson Sheik,6.5,5,264,1.0,,,,,,,3.0,,,,,,,,,68744
Camacho,4.7,4,293,,,,,,,,1.0,,,,,,1.0,3.0,,68770
Nino Paraíba,7.2,2,265,,,,,,,1.0,2.0,,,,,,2.0,4.0,,68808
Paulo Miranda,5.1,3,284,,,,,2.0,,,1.0,,,,,,3.0,1.0,1.0,68817
Rafael Galhardo,1.8,2,267,,,,,,,,,,,,,,4.0,2.0,,68821
Renato Chaves,-0.1,3,266,,,,,2.0,,,,,,,,,2.0,1.0,,68827
Marcelo Lomba,5.2,1,285,,,,,,,,1.0,,,,,,1.0,,1.0,68872
Gum,-0.8,3,266,,,,,2.0,,1.0,,,,,,,2.0,,,68887
Anselmo,6.7,4,292,,,,,2.0,,1.0,3.0,,,,,,2.0,4.0,,68910
Vinicius,2.2,5,315,,,,,1.0,,1.0,2.0,,,,,,2.0,1.0,,68917
Ernandes,0.5,2,354,,,,,,,1.0,,,,,,,1.0,,,68956
Santos,-2.3,1,293,,,,,,,,,,,,1.0,,1.0,,,69012
Deivid,0.0,4,293,,,,,,,,,,,,,,,,,69018
Pablo,8.7,5,293,,,,,2.0,,1.0,,,1.0,,,,2.0,1.0,,69138
Martín Silva,4.0,1,267,,,,2.0,,,,,,,,1.0,,,,,69249
Nikão,10.5,4,293,,,,,,2.0,,3.0,,1.0,,,1.0,3.0,,,69705
Fellipe Bastos,0.9,4,292,,,,,1.0,1.0,1.0,,,,,,,2.0,,,70116
Reina,1.9,4,354,,,,,,1.0,,2.0,,,,,,1.0,,,70118
Eduardo Sasha,3.6,5,277,1.0,,,,2.0,,,1.0,,,,,,3.0,,,70360
Rogério Micale,0.0,6,289,,,,,,,,,,,,,,,,,70526
Fábio Carille,4.19,6,264,,,,,,,,,,,,,,,,,70696
Rhayner,6.4,5,287,1.0,1.0,,,2.0,,3.0,1.0,1.0,,,,,5.0,,,70874
Wescley,0.9,4,354,,,,,2.0,,,2.0,,,,,,2.0,1.0,,70925
Léo Cittadini,6.5,4,277,,,,,1.0,,2.0,,,,,,,2.0,4.0,,70986
Mancuello,2.2,4,283,,,,,1.0,1.0,,,,,,,,,1.0,,71066
Vinícius,-0.4,4,265,,,,,,,,1.0,,,,,,3.0,,,71162
Alex Baumjohann,0.3,4,287,,,,,2.0,,1.0,1.0,,,,,,,,,71389
Cuéllar,5.2,4,262,,,,,1.0,,,,,,,,,1.0,4.0,,71709
Elton,2.9,4,265,,,,,3.0,,,1.0,,,,,,2.0,3.0,,71719
Agenor,-6.0,1,292,,,,,,,,,,,,3.0,,,,,71724
Thiago Galhardo,5.7,4,267,1.0,,,,1.0,,1.0,2.0,,,,,,2.0,,,71844
Michel,1.5,4,284,,,,,,,,,,,,,,,1.0,,71920
Juninho,-0.1,4,354,,,,,,,1.0,,,,,,,8.0,1.0,,71937
Uillian Correia,0.5,4,287,,,,,2.0,1.0,,,,,,,,4.0,1.0,,72007
Bruno Cortez,10.0,2,284,,,,,2.0,,,3.0,,,,,,5.0,4.0,1.0,72079
Éverson,2.0,1,354,,,,2.0,,,,,,,,2.0,,,,,72294
Luiz Otávio,2.7,3,354,,,,,,,,,,,,,,1.0,2.0,,72359
Fernando Diniz,6.77,6,293,,,,,,,,,,,,,,,,,72391
Bressan,6.5,3,284,,,,,,,,,,,,,,,1.0,1.0,72491
Renê Júnior,-1.0,4,264,,,,,3.0,,1.0,,,,,,,1.0,,,73281
Éderson,9.4,5,293,,,,,1.0,,,,,1.0,,,1.0,2.0,2.0,,73446
Pio,0.1,4,354,,,,,1.0,,,1.0,,,1.0,,,3.0,4.0,,73466
Gabriel,1.2,4,292,,,,,,,1.0,2.0,,,,,,2.0,,,73515
Rildo,0.0,5,267,,1.0,,,1.0,,1.0,4.0,,,,,,1.0,,,73635
Diego Aguirre,0.0,6,276,,,,,,,,,,,,,,,,,73766
Geuvânio,5.5,5,262,1.0,,,,1.0,,,,,,,,1.0,,1.0,,73896
Canteros,4.7,4,315,1.0,,,,,,,,,,,,,6.0,1.0,,73918
Desábato,2.1,4,267,,,,,,,,,,,,,,3.0,2.0,,73936
Alison,3.3,4,277,,,,,1.0,,1.0,,,,,,,,2.0,,73974
Rodinei,3.1,2,262,,,,,,,,2.0,,,,,,3.0,2.0,,73992
Claudio Winck,-1.8,2,292,,1.0,,,3.0,,,1.0,,,,,,1.0,1.0,,74074
Guilherme Costa,0.2,4,287,,,,,,,,1.0,,,,,,1.0,,,74081
Edigar Junio,0.9,5,265,,,,,2.0,,,,,,,,1.0,2.0,2.0,,74271
William Pottker,-3.0,5,285,,1.0,,,3.0,,,1.0,,,,,,,,,77809
Douglas Grolli,0.2,3,265,,,,,2.0,,,,,,,,,1.0,1.0,,78407
Renê,2.3,2,262,,,,,,,,1.0,,,,,,4.0,2.0,,78445
Willian Arão,-0.1,4,262,,1.0,,,1.0,,,,,,,,,2.0,2.0,,78478
Arnaldo,0.0,2,354,,,,,,,,,,,,,,,,,78497
Jean Mota,5.5,4,277,,,,,2.0,1.0,3.0,1.0,,,,,,7.0,3.0,,78548
Ricardinho,0.0,4,354,,,,,,,,,,,,,,,,,78577
Douglas Friedrich,-0.8,1,265,,,,1.0,,,,1.0,,,,2.0,,1.0,,,78584
Ramiro,2.9,4,284,,1.0,,,2.0,,,1.0,,,,,,2.0,4.0,,78715
Rodrigo Dourado,8.1,4,285,,,,,3.0,1.0,,,,,,,,2.0,6.0,,78865
Tiago ,1.4,3,265,,,,,3.0,1.0,,1.0,,,,,,1.0,1.0,,79042
Víctor Cuesta,13.1,3,285,,,,,2.0,,,2.0,,,,,,3.0,6.0,1.0,79113
Roger Machado ,0.0,6,275,,,,,,,,,,,,,,,,,79437
Sassá,-2.0,5,283,,1.0,,,4.0,,,1.0,,,,,,,1.0,,79578
Fabiano,6.4,2,285,,,,,2.0,,,,,,,,,2.0,2.0,1.0,79887
Rafael Carioca,-2.0,2,354,,1.0,,,2.0,,1.0,1.0,,,,,,6.0,1.0,,79967
Jadson,6.9,4,266,,,,,2.0,,1.0,1.0,,,,,,3.0,5.0,,80129
Nadson,0.2,4,315,,,,,,,,1.0,,,,,,1.0,,,80140
Marcos Junior,0.0,5,266,,,,,,,,,,,,,,,,,80188
Yago Pikachu,12.8,2,267,,,,,,,1.0,2.0,1.0,1.0,,,,5.0,1.0,,80196
Gilberto ,-0.7,2,266,,,,,2.0,,,,,,,,,4.0,1.0,,80313
Arthur ,1.8,5,315,,,,,,,2.0,1.0,,,,,,1.0,,,80337
Ariel Cabral,1.9,4,283,,1.0,,,2.0,,,2.0,,,,,,2.0,3.0,,80363
Norberto ,10.9,2,327,,,,,,,,1.0,,,,,,2.0,4.0,1.0,80374
Marlone,1.6,4,292,,1.0,,,1.0,3.0,1.0,1.0,,,,,1.0,1.0,,,80944
Cazares,5.1,4,282,,,,,1.0,2.0,1.0,,,,,,,2.0,2.0,,81682
Andrés Ríos,-2.5,5,267,,1.0,,,2.0,,,1.0,,,,,,,,,81684
Rossi,0.5,5,285,,,,,,,,1.0,,,,,,,,,81798
Henrique Dourado,0.5,5,262,,,,,1.0,,,2.0,,,,,,,,,81905
Juninho,2.6,4,327,,,,,2.0,,,3.0,,,,,,3.0,2.0,,82381
Zé Rafael ,6.7,4,265,,,,,,1.0,1.0,4.0,,,,,,1.0,2.0,,82455
Régis,0.2,4,265,,,,,,,1.0,,,,,,,2.0,,,82647
Maurício Barbieri,3.79,6,262,,,,,,,,,,,,,,,,,82792
Otero,16.5,4,282,,,,,1.0,2.0,2.0,2.0,,1.0,,,1.0,,3.0,,83004
Rafael Thyere,-1.8,3,315,,1.0,,,2.0,,,,,,,,,1.0,1.0,,83048
Riascos,1.1,5,267,,,,,2.0,1.0,,1.0,,,,,1.0,2.0,1.0,,83189
Gabriel,5.8,5,277,,,,,1.0,1.0,6.0,1.0,,,,,1.0,4.0,1.0,,83257
Patrick,10.7,4,285,1.0,,,,2.0,,1.0,1.0,,,,,,2.0,4.0,,83433
Clayson,3.6,5,264,,,,,3.0,,1.0,2.0,,,,,,4.0,3.0,,83817
Valdo,3.0,3,354,,,,,,,,,,,,,,,2.0,,84509
Allione,0.2,4,265,,,,,,,,1.0,,,,,,1.0,,,84585
Nico López,18.8,5,285,,,,,,1.0,2.0,1.0,,2.0,,,1.0,5.0,1.0,,84709
Denilson,9.1,5,287,,,,,2.0,1.0,1.0,,,1.0,,,1.0,3.0,1.0,,84718
Erik,0.0,5,282,,,,,,,,,,,,,,,,,84848
Raul Prata,7.1,2,292,,,,,,,,1.0,,,,,,3.0,5.0,,84855
Alberto Valentim,0.0,6,263,,,,,,,,,,,,,,,,,84863
Henrique,2.8,2,267,,1.0,,,1.0,1.0,,1.0,,,,,,3.0,3.0,,84893
Jeferson,2.2,2,287,,,,,2.0,1.0,,1.0,,,,,,,1.0,,84917
Yago,-3.0,4,282,,1.0,,,2.0,,,,,,,,,,,,84926
Léo,3.5,2,265,,,,,1.0,,1.0,1.0,,,,,,1.0,2.0,,85626
Aylon,5.1,5,327,,,,,1.0,,2.0,2.0,,,,,,,2.0,,85930
Pablo Dyego,3.3,5,266,,,,,1.0,1.0,1.0,3.0,,,,,,4.0,1.0,,86444
Jandrei,-3.5,1,315,,,,2.0,,,,1.0,,,,5.0,,,,,86508
Everton Felipe,-0.1,4,292,,,,,,,1.0,,,,,,,3.0,,,86519
Richard,16.2,4,266,,,,,,,1.0,1.0,,1.0,,,,2.0,5.0,,86711
Everton,10.0,5,284,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,,86757
Sidcley,1.5,2,264,,,,,1.0,,,1.0,,,,,,,1.0,,86764
Matheus Rossetto,12.7,4,293,,,,,,,,1.0,,1.0,,,,1.0,3.0,,86766
Kannemann,1.9,3,284,,,1.0,,2.0,,,1.0,,,,,,2.0,2.0,1.0,87342
Gabriel,-0.5,3,282,,,,,3.0,,,2.0,,,,,,,,,87393
Messias,9.6,3,327,,,,,1.0,,,,,,,,,3.0,4.0,1.0,87402
Vitor Bueno,-0.3,4,277,,,,,,,,,,,,,,1.0,,,87552
Yago,7.5,4,287,,1.0,,,4.0,,1.0,3.0,,1.0,,,,6.0,2.0,,87747
Arrascaeta,9.9,4,283,,,,,3.0,3.0,1.0,5.0,,,,,,5.0,4.0,,87863
Sornoza,7.2,4,266,,,,,,2.0,,,,,,,,4.0,4.0,,87877
Balbuena,7.2,3,264,,,,,1.0,,,1.0,,,,,,1.0,5.0,,87887
Serginho,17.9,4,327,,,,,1.0,,1.0,,,2.0,,,1.0,3.0,2.0,,88002
Ramon,-0.8,3,287,,,,,4.0,,,,,,,,,1.0,1.0,,88087
Daniel Guedes ,6.2,2,277,,,,,,,,,,,,,,1.0,1.0,1.0,88225
Ángel Romero,5.8,5,264,1.0,,,,2.0,,2.0,1.0,,,,,,6.0,1.0,,88323
Gabriel Dias,0.5,4,285,,,,,1.0,,,2.0,,,,,,,,,88368
Ayrton Lucas,4.3,2,266,,,,,1.0,,1.0,5.0,,,,,,,1.0,,88393
Rodrigo Andrade,-2.7,4,287,,1.0,,,3.0,1.0,1.0,,,,,,,4.0,,,89646
Róger Guedes,-0.3,5,282,,,,,,,,,,,,,,1.0,,,89898
Andrigo,1.6,4,292,,,,,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,,89930
Bruno Pacheco,1.2,2,315,,,,,1.0,,,1.0,,,,,,1.0,1.0,,90061
Jailson,2.0,4,284,,,,,,,,1.0,,,,,,,1.0,,90290
Arthur,11.7,4,284,,,,,,,,6.0,,,,,,1.0,6.0,,90532
Pavez,1.9,4,293,,,,,,,,2.0,,,,,,2.0,1.0,,90959
Gustavo Blanco,15.4,4,282,1.0,,,,3.0,2.0,,1.0,1.0,,,,,,4.0,,91191
Zé Ivaldo,-3.6,3,293,,1.0,,,3.0,,,1.0,,,,,,2.0,,,91866
Christian Sávio,10.7,4,327,,,,,,,1.0,3.0,,,,,,2.0,6.0,,91928
Arthur,3.6,5,354,,,,,,1.0,,,,,,,,2.0,2.0,,92171
Jair Ventura,6.45,6,277,,,,,,,,,,,,,,,,,92180
Caíque,-1.0,1,287,,,,1.0,,,,,,,,2.0,,,,,92207
Odair Hellmann,7.95,6,285,,,,,,,,,,,,,,,,,92273
Mateus Vital,-0.1,4,264,,,,,,,1.0,,,,,,,3.0,,,93108
Lucas Veríssimo,8.5,3,277,,,,,,,1.0,,,,,,,1.0,2.0,1.0,93368
Evander,2.5,4,267,,1.0,,,1.0,,3.0,1.0,,,,,,3.0,2.0,,93788
Ribamar,2.9,5,293,,,,,1.0,,4.0,2.0,,,,,1.0,1.0,,,94068
Maycon,-0.3,4,264,,,,,,,,,,,,,,1.0,,,94154
Diego Pituca,0.0,4,277,,,,,,,,,,,,,,,,,94156
Guilherme,0.2,5,315,,,,,,,,1.0,,,,,,1.0,,,94207
Raphael Veiga,5.0,4,293,1.0,,,,,,,,,,,,,,,,94509
Pedro,6.0,5,266,1.0,,,,2.0,1.0,1.0,,,,,,,,,,94583
Lucas Paquetá,12.1,4,262,,,,,1.0,1.0,,5.0,,1.0,,,,2.0,1.0,,94930
Marco Antônio,1.5,4,265,,,,,,,,,,,,,,,1.0,,94975
Gregore,4.3,4,265,,,,,3.0,,1.0,1.0,,,,,,,3.0,,95464
Zé Ricardo,4.62,6,267,,,,,,,,,,,,,,,,,95780
Sander,1.9,2,292,,,,,,,,2.0,,,,,,2.0,1.0,,95843
Arthur Gomes,0.0,5,277,,,,,,,,,,,,,,,,,96966
Zé Ricardo,0.4,4,327,,,,,1.0,,,,,,,,,2.0,1.0,,97317
Jory,13.7,1,327,,,,3.0,,,,,,,,,,1.0,,1.0,97453
Frazan,-0.5,3,266,,,,,1.0,,,,,,,,,,,,97528
Ibañez,2.7,3,266,,,,,,,,,,,,,,1.0,2.0,,97803
Léo Ortiz,-1.5,3,292,,1.0,,,2.0,,,,,,,,,,1.0,,97867
Iago,8.3,2,285,,,,,1.0,,,1.0,,,,,,4.0,3.0,1.0,97868
Bruno Guimarães,5.2,4,293,,,,,1.0,,,6.0,,,,,,1.0,2.0,,98352
Pedrinho,-0.6,4,264,,,,,1.0,,,1.0,,,,,,2.0,,,98706
Vinicius Junior,6.4,5,262,1.0,,,,1.0,1.0,2.0,3.0,,,,,,8.0,,,99535
João Carlos,-0.5,5,266,,,,,1.0,,,,,,,,,,,,99583
Bremer,-0.1,3,282,,1.0,,,2.0,,,1.0,,,,,,2.0,2.0,,99817
Júnior Brumado,-0.5,5,265,,,,,3.0,,,2.0,,,,,,,,,99894
